,,2023-04-27
UNP,close,193.5399932861328
UPS,open,172.75999450683594
UPS,close,177.75999450683594
URI,open,356.0
URI,close,357.6600036621094
USB,open,31.600000381469727
USB,close,32.56999969482422
V,open,228.6699981689453
V,close,229.00999450683594
VFC,open,22.31999969482422
VFC,close,23.139999389648438
VICI,open,32.880001068115234
VICI,close,33.290000915527344
VLO,open,114.91000366210938
VLO,close,114.63999938964844
VMC,open,166.66000366210938
VMC,close,172.97999572753906
VRSK,open,190.86000061035156
VRSK,close,192.10000610351562
VRSN,open,211.97999572753906
VRSN,close,216.89999389648438
VRTX,open,324.5
VRTX,close,339.3699951171875
VTR,open,45.90999984741211
VTR,close,47.13999938964844
VTRS,open,9.109999656677246
VTRS,close,9.260000228881836
VZ,open,37.20000076293945
VZ,close,38.790000915527344
WAB,open,96.68000030517578
WAB,close,97.73999786376953
WAT,open,296.95001220703125
WAT,close,298.3399963378906
WBA,open,34.86000061035156
WBA,close,35.099998474121094
WBD,open,12.75
WBD,close,13.09000015258789
WDC,open,32.77000045776367
WDC,close,32.7599983215332
WEC,open,96.11000061035156
WEC,close,96.52999877929688
WELL,open,76.19999694824219
WELL,close,77.98999786376953
WFC,open,39.529998779296875
WFC,close,39.65999984741211
WHR,open,130.17999267578125
WHR,close,135.38999938964844
WM,open,162.05999755859375
WM,close,161.6300048828125
WMB,open,29.40999984741211
WMB,close,29.809999465942383
WMT,open,150.77999877929688
WMT,close,151.3800048828125
WRB,open,56.91999816894531
WRB,close,57.79999923706055
WRK,open,29.290000915527344
WRK,close,29.350000381469727
WST,open,355.0
WST,close,355.2200012207031
WTW,open,238.5
WTW,close,225.80999755859375
WY,open,29.209999084472656
WY,close,29.389999389648438
WYNN,open,111.4000015258789
WYNN,close,110.22000122070312
XEL,open,70.30999755859375
XEL,close,70.26000213623047
XOM,open,115.62000274658203
XOM,close,116.83000183105469
XRAY,open,40.95000076293945
XRAY,close,41.36000061035156
XYL,open,101.9000015258789
XYL,close,103.83000183105469
YUM,open,138.5800018310547
YUM,close,139.8000030517578
ZBH,open,138.8000030517578
ZBH,close,138.35000610351562
ZBRA,open,283.510009765625
ZBRA,close,284.1199951171875
ZION,open,26.360000610351562
ZION,close,26.579999923706055
ZTS,open,173.8699951171875
ZTS,close,173.9499969482422
